"ITTER107","Territorio","TIPO_DATO7","Indicatori","CORREZ","Correzione","TIPO_ALLOGGIO2","Tipologia di esercizio","ATECO_2007","Ateco 2007","ISO","Paese di residenza dei clienti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-01","Gen-1990",6104056,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-02","Feb-1990",6416555,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-03","Mar-1990",7587681,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-04","Apr-1990",8151963,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-05","Mag-1990",7379913,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-06","Giu-1990",11419742,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-07","Lug-1990",18711012,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-08","Ago-1990",27429819,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-09","Set-1990",13202858,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-10","Ott-1990",7164775,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-11","Nov-1990",5330068,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1990-12","Dic-1990",6154229,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-01","Gen-1991",6458484,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-02","Feb-1991",6570800,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-03","Mar-1991",8145064,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-04","Apr-1991",7688996,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-05","Mag-1991",7073495,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-06","Giu-1991",12569056,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-07","Lug-1991",20213234,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-08","Ago-1991",28888877,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-09","Set-1991",13640895,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-10","Ott-1991",7079915,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-11","Nov-1991",5401704,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1991-12","Dic-1991",6133619,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-01","Gen-1992",6870680,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-02","Feb-1992",7339608,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-03","Mar-1992",7680593,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-04","Apr-1992",7534558,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-05","Mag-1992",8117053,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-06","Giu-1992",12696046,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-07","Lug-1992",20082783,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-08","Ago-1992",28291071,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-09","Set-1992",13263787,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-10","Ott-1992",6487884,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-11","Nov-1992",4861568,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1992-12","Dic-1992",5926169,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-01","Gen-1993",6861622,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-02","Feb-1993",6751488,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-03","Mar-1993",6930038,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-04","Apr-1993",7135673,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-05","Mag-1993",7207753,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-06","Giu-1993",12016413,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-07","Lug-1993",19571039,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-08","Ago-1993",27102535,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-09","Set-1993",12303492,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-10","Ott-1993",6286018,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-11","Nov-1993",4593970,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1993-12","Dic-1993",5511157,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-01","Gen-1994",6915447,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-02","Feb-1994",6483408,,
"IT","Italia","NI","presenze","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","1994-03","Mar-1994",6976804,,
