"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","ETA1","Classe di età","POSIZPROF","Posizione professionale","CARATT_OCC","Carattere occupazione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1992-Q4","T4-1992",1678.929,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1993-Q1","T1-1993",1595.51,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1993-Q2","T2-1993",1549.073,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1993-Q4","T4-1993",1516.951,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1993-Q3","T3-1993",1560.137,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1994-Q2","T2-1994",1616.632,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1994-Q1","T1-1994",1559.45,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1994-Q4","T4-1994",1610.067,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1994-Q3","T3-1994",1603.041,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1995-Q1","T1-1995",1660.43,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1995-Q2","T2-1995",1621.463,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1995-Q4","T4-1995",1651.537,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1995-Q3","T3-1995",1651.467,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1996-Q2","T2-1996",1612.885,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1996-Q1","T1-1996",1611.129,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1996-Q4","T4-1996",1635.803,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1996-Q3","T3-1996",1636.759,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1997-Q1","T1-1997",1665.797,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1997-Q2","T2-1997",1674.948,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1997-Q4","T4-1997",1692.597,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1997-Q3","T3-1997",1706.466,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1998-Q2","T2-1998",1735.449,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1998-Q1","T1-1998",1773.696,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1998-Q4","T4-1998",1816.378,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1998-Q3","T3-1998",1754.152,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1999-Q1","T1-1999",1888.186,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1999-Q2","T2-1999",1919.594,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1999-Q4","T4-1999",1892.627,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","1999-Q3","T3-1999",1866.096,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2000-Q2","T2-2000",1975.784,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2000-Q1","T1-2000",1968.17,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2000-Q4","T4-2000",2062.926,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2000-Q3","T3-2000",1948.33,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2001-Q1","T1-2001",2010.793,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2001-Q2","T2-2001",1934.641,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2001-Q4","T4-2001",1960.18,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2001-Q3","T3-2001",1986.642,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2002-Q2","T2-2002",1980.827,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2002-Q1","T1-2002",1999.656,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2002-Q4","T4-2002",2003.529,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2002-Q3","T3-2002",1983.915,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2003-Q1","T1-2003",1898.298,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2003-Q2","T2-2003",2026.572,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2003-Q4","T4-2003",1958.251,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2003-Q3","T3-2003",2006.815,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2004-Q2","T2-2004",1886.14,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2004-Q1","T1-2004",1819.87,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2004-Q4","T4-2004",1958,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2004-Q3","T3-2004",1954.37,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2005-Q1","T1-2005",1977.968,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2005-Q2","T2-2005",1988.591,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2005-Q4","T4-2005",2093.306,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2005-Q3","T3-2005",1977.837,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2006-Q2","T2-2006",2131.866,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2006-Q1","T1-2006",2170.186,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2006-Q4","T4-2006",2237.019,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2006-Q3","T3-2006",2177.019,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2007-Q1","T1-2007",2200.69,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2007-Q2","T2-2007",2224.729,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2007-Q4","T4-2007",2241.073,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2007-Q3","T3-2007",2252.15,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2008-Q2","T2-2008",2320.716,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2008-Q1","T1-2008",2305.476,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2008-Q4","T4-2008",2207.055,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2008-Q3","T3-2008",2272.17,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2017M12G7","07-Dic-2017","2009-Q1","T1-2009",2152.366,,
