"ITTER107","Territorio","TIPO_DATO7","Tipo dato","CORREZ","Correzione","EDIFICI","Tipologia edilizia","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2000-Q2","T2-2000",47040,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2000-Q1","T1-2000",44732,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2000-Q4","T4-2000",48231,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2000-Q3","T3-2000",44421,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2001-Q1","T1-2001",44842,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2001-Q2","T2-2001",52839,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2001-Q4","T4-2001",47404,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2001-Q3","T3-2001",43940,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2002-Q2","T2-2002",55005,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2002-Q1","T1-2002",49156,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2002-Q4","T4-2002",55246,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2002-Q3","T3-2002",49821,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2003-Q1","T1-2003",55375,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2003-Q2","T2-2003",59494,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2003-Q4","T4-2003",60591,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2003-Q3","T3-2003",54066,,
"IT","Italia","NUMDW","abitazioni","N","dati grezzi","NEW_RS_BUIL","fabbricati residenziali nuovi","2004-Q2","T2-2004",72800,,
