TIME,Index_Case
1947-03-11,34.2782
1947-06-30,32.0206
1947-09-11,29.861
1947-12-11,31.1537
1948-03-11,36.0605
1948-06-30,36.8426
1948-09-11,34.9951
1948-12-11,35.2351
1949-03-11,35.404
1949-06-30,35.072
1949-09-11,33.1123
1949-12-11,32.5878
1950-03-11,32.8344
1950-06-30,34.5702
1950-09-11,36.2324
1950-12-11,36.2328
1951-03-11,37.2777
1951-06-30,38.5187
1951-09-11,38.0331
1951-12-11,37.4074
1952-03-11,36.9859
1952-06-30,36.9596
1952-09-11,36.994
1952-12-11,37.0361
1953-03-11,36.5813
1953-06-30,37.1279
1953-09-11,36.1573
1953-12-11,36.4839
1954-03-11,36.4362
1954-06-30,37.2462
1954-09-11,37.6194
1954-12-11,37.2784
1955-03-11,37.001
1955-06-30,37.7289
1955-09-11,37.1473
1955-12-11,36.1765
1956-03-11,36.5082
1956-06-30,36.6065
1956-09-11,35.9775
1956-12-11,35.997
1957-03-11,36.6905
1957-06-30,36.6533
1957-09-11,36.5783
1957-12-11,36.0888
1958-03-11,35.4142
1958-06-30,35.4665
1958-09-11,34.9744
1958-12-11,34.3068
1959-03-11,34.5624
1959-06-30,35.0366
1959-09-11,35.0985
1959-12-11,35.4731
1960-03-11,35.4713
1960-06-30,35.0499
1960-09-11,34.985
1960-12-11,34.9099
1961-03-11,35.465
1961-06-30,35.8042
1961-09-11,35.6692
1961-12-11,35.8198
1962-03-11,36.4156
1962-06-30,37.0886
1962-09-11,36.6512
1962-12-11,36.1928
1963-03-11,37.3154
1963-06-30,36.9791
1963-09-11,36.5918
1963-12-11,37.6316
1964-03-11,38.5101
1964-06-30,39.2404
1964-09-11,39.4693
1964-12-11,38.9168
1965-03-11,38.1967
1965-06-30,37.3398
1965-09-11,36.9567
1965-12-11,36.9203
1966-03-11,37.0838
1966-06-30,37.1685
1966-09-11,36.83
1966-12-11,36.6091
1967-03-11,36.4114
1967-06-30,36.2851
1967-09-11,36.8368
1967-12-11,37.9508
1968-03-11,38.9777
1968-06-30,39.9944
1968-09-11,40.1323
1968-12-11,39.9452
