Tipo aggregato (milioni di euro),Valutazione,Edizione,TIME,PIL
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1995-03-01,239678.2
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1995-06-01,244974.5
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1995-12-01,255499.9
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1995-09-01,249849.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1996-06-01,261094.2
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1996-03-01,258647.1
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1996-12-01,263316.5
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1996-09-01,262545.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1997-03-01,266999.9
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1997-06-01,271149.3
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1997-12-01,279900.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1997-09-01,275362.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1998-06-01,284680.3
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1998-03-01,280845.6
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1998-12-01,287188.3
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1998-09-01,285218.9
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1999-03-01,288921.1
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1999-06-01,290755.1
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1999-12-01,299655.1
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,1999-09-01,294207.1
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2000-06-01,309182.0
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2000-03-01,304332.9
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2000-12-01,318345.9
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2000-09-01,311585.5
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2001-03-01,322548.8
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2001-06-01,324945.5
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2001-12-01,329286.6
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2001-09-01,326928.5
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2002-06-01,336106.6
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2002-03-01,333028.1
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2002-12-01,341116.9
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2002-09-01,339507.7
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2003-03-01,343929.8
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2003-06-01,347003.3
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2003-12-01,352783.0
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2003-09-01,351757.6
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2004-06-01,363193.8
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2004-03-01,356837.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2004-12-01,367063.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2004-09-01,362902.4
prodotto interno lordo ai prezzi di mercato,prezzi correnti,Apr-2023,2005-03-01,367178.6
