Entity,Code,Year,Population (historical estimates),TIME
Italy,ITA,1995,56885124,1995-03-31
Italy,ITA,1995,56885124,1995-06-30
Italy,ITA,1995,56885124,1995-09-30
Italy,ITA,1995,56885124,1995-12-31
Italy,ITA,1996,56898972,1996-03-31
Italy,ITA,1996,56898972,1996-06-30
Italy,ITA,1996,56898972,1996-09-30
Italy,ITA,1996,56898972,1996-12-31
Italy,ITA,1997,56925808,1997-03-31
Italy,ITA,1997,56925808,1997-06-30
Italy,ITA,1997,56925808,1997-09-30
Italy,ITA,1997,56925808,1997-12-31
Italy,ITA,1998,56938736,1998-03-31
Italy,ITA,1998,56938736,1998-06-30
Italy,ITA,1998,56938736,1998-09-30
Italy,ITA,1998,56938736,1998-12-31
Italy,ITA,1999,56945064,1999-03-31
Italy,ITA,1999,56945064,1999-06-30
Italy,ITA,1999,56945064,1999-09-30
Italy,ITA,1999,56945064,1999-12-31
Italy,ITA,2000,56966400,2000-03-31
Italy,ITA,2000,56966400,2000-06-30
Italy,ITA,2000,56966400,2000-09-30
Italy,ITA,2000,56966400,2000-12-31
Italy,ITA,2001,56994992,2001-03-31
Italy,ITA,2001,56994992,2001-06-30
Italy,ITA,2001,56994992,2001-09-30
Italy,ITA,2001,56994992,2001-12-31
Italy,ITA,2002,57107576,2002-03-31
Italy,ITA,2002,57107576,2002-06-30
Italy,ITA,2002,57107576,2002-09-30
Italy,ITA,2002,57107576,2002-12-31
Italy,ITA,2003,57425176,2003-03-31
Italy,ITA,2003,57425176,2003-06-30
Italy,ITA,2003,57425176,2003-09-30
Italy,ITA,2003,57425176,2003-12-31
Italy,ITA,2004,57860664,2004-03-31
Italy,ITA,2004,57860664,2004-06-30
Italy,ITA,2004,57860664,2004-09-30
Italy,ITA,2004,57860664,2004-12-31
Italy,ITA,2005,58199876,2005-03-31
Italy,ITA,2005,58199876,2005-06-30
Italy,ITA,2005,58199876,2005-09-30
Italy,ITA,2005,58199876,2005-12-31
Italy,ITA,2006,58429904,2006-03-31
Italy,ITA,2006,58429904,2006-06-30
Italy,ITA,2006,58429904,2006-09-30
Italy,ITA,2006,58429904,2006-12-31
Italy,ITA,2007,58778480,2007-03-31
Italy,ITA,2007,58778480,2007-06-30
Italy,ITA,2007,58778480,2007-09-30
Italy,ITA,2007,58778480,2007-12-31
Italy,ITA,2008,59224228,2008-03-31
Italy,ITA,2008,59224228,2008-06-30
Italy,ITA,2008,59224228,2008-09-30
Italy,ITA,2008,59224228,2008-12-31
Italy,ITA,2009,59562844,2009-03-31
Italy,ITA,2009,59562844,2009-06-30
Italy,ITA,2009,59562844,2009-09-30
Italy,ITA,2009,59562844,2009-12-31
Italy,ITA,2010,59822452,2010-03-31
Italy,ITA,2010,59822452,2010-06-30
Italy,ITA,2010,59822452,2010-09-30
Italy,ITA,2010,59822452,2010-12-31
Italy,ITA,2011,60025952,2011-03-31
Italy,ITA,2011,60025952,2011-06-30
Italy,ITA,2011,60025952,2011-09-30
Italy,ITA,2011,60025952,2011-12-31
Italy,ITA,2012,60190152,2012-03-31
Italy,ITA,2012,60190152,2012-06-30
Italy,ITA,2012,60190152,2012-09-30
Italy,ITA,2012,60190152,2012-12-31
Italy,ITA,2013,60312600,2013-03-31
Italy,ITA,2013,60312600,2013-06-30
Italy,ITA,2013,60312600,2013-09-30
Italy,ITA,2013,60312600,2013-12-31
Italy,ITA,2014,60322792,2014-03-31
Italy,ITA,2014,60322792,2014-06-30
Italy,ITA,2014,60322792,2014-09-30
Italy,ITA,2014,60322792,2014-12-31
Italy,ITA,2015,60232908,2015-03-31
Italy,ITA,2015,60232908,2015-06-30
Italy,ITA,2015,60232908,2015-09-30
Italy,ITA,2015,60232908,2015-12-31
Italy,ITA,2016,60118628,2016-03-31
Italy,ITA,2016,60118628,2016-06-30
Italy,ITA,2016,60118628,2016-09-30
Italy,ITA,2016,60118628,2016-12-31
Italy,ITA,2017,60004024,2017-03-31
Italy,ITA,2017,60004024,2017-06-30
Italy,ITA,2017,60004024,2017-09-30
Italy,ITA,2017,60004024,2017-12-31
Italy,ITA,2018,59877432,2018-03-31
Italy,ITA,2018,59877432,2018-06-30
Italy,ITA,2018,59877432,2018-09-30
Italy,ITA,2018,59877432,2018-12-31
Italy,ITA,2019,59727936,2019-03-31
Italy,ITA,2019,59727936,2019-06-30
Italy,ITA,2019,59727936,2019-09-30
Italy,ITA,2019,59727936,2019-12-31
Italy,ITA,2020,59500576,2020-03-31
Italy,ITA,2020,59500576,2020-06-30
Italy,ITA,2020,59500576,2020-09-30
Italy,ITA,2020,59500576,2020-12-31
Italy,ITA,2021,59240336,2021-03-31
Italy,ITA,2021,59240336,2021-06-30
Italy,ITA,2021,59240336,2021-09-30
Italy,ITA,2021,59240336,2021-12-31
