Month,Price (€/m^2),District
2023-03-01,,Baggio
2023-02-01,,Baggio
2023-01-01,,Baggio
2022-12-01,13.8,Baggio
2022-11-01,14.4,Baggio
2022-10-01,14.3,Baggio
2022-09-01,13.1,Baggio
2022-08-01,13.0,Baggio
2022-07-01,12.8,Baggio
2022-06-01,12.5,Baggio
2022-05-01,14.0,Baggio
2022-04-01,13.8,Baggio
2022-03-01,14.3,Baggio
2022-02-01,14.5,Baggio
2022-01-01,14.0,Baggio
2021-12-01,14.0,Baggio
2021-11-01,14.4,Baggio
2021-10-01,14.7,Baggio
2021-09-01,13.7,Baggio
2021-08-01,13.8,Baggio
2021-07-01,14.4,Baggio
2021-06-01,14.1,Baggio
2021-05-01,13.9,Baggio
2021-04-01,14.0,Baggio
2021-03-01,13.9,Baggio
2021-02-01,13.3,Baggio
2021-01-01,13.0,Baggio
2020-12-01,13.9,Baggio
2020-11-01,14.4,Baggio
2020-10-01,14.5,Baggio
2020-09-01,15.0,Baggio
2020-08-01,14.2,Baggio
2020-07-01,13.5,Baggio
2020-06-01,13.2,Baggio
2020-05-01,12.9,Baggio
2020-04-01,12.9,Baggio
2020-03-01,12.9,Baggio
2020-02-01,12.9,Baggio
2020-01-01,12.4,Baggio
2019-12-01,12.7,Baggio
2019-11-01,13.6,Baggio
2019-10-01,13.9,Baggio
2019-09-01,11.8,Baggio
2019-08-01,11.8,Baggio
2019-07-01,12.0,Baggio
2019-06-01,12.5,Baggio
2019-05-01,13.2,Baggio
2019-04-01,13.3,Baggio
2019-03-01,13.0,Baggio
2019-02-01,13.3,Baggio
2019-01-01,13.3,Baggio
2018-12-01,13.3,Baggio
2018-11-01,12.9,Baggio
2018-10-01,12.9,Baggio
2018-09-01,12.7,Baggio
2018-08-01,12.9,Baggio
2018-07-01,12.7,Baggio
2018-06-01,12.0,Baggio
2018-05-01,12.0,Baggio
2018-04-01,11.9,Baggio
2018-03-01,12.3,Baggio
2018-02-01,11.6,Baggio
2018-01-01,12.0,Baggio
2017-12-01,13.0,Baggio
2017-11-01,12.5,Baggio
2017-10-01,12.5,Baggio
2017-09-01,12.5,Baggio
2017-08-01,12.5,Baggio
2017-07-01,12.5,Baggio
2017-06-01,11.9,Baggio
2017-05-01,11.9,Baggio
2017-04-01,12.0,Baggio
2017-03-01,12.0,Baggio
2017-02-01,11.7,Baggio
2017-01-01,11.7,Baggio
2016-12-01,11.5,Baggio
2016-11-01,11.1,Baggio
2016-10-01,10.9,Baggio
2016-09-01,11.1,Baggio
2016-08-01,11.7,Baggio
2016-07-01,10.8,Baggio
2016-06-01,10.4,Baggio
2016-05-01,10.4,Baggio
2016-04-01,10.4,Baggio
2016-03-01,10.9,Baggio
2016-02-01,11.5,Baggio
2016-01-01,11.3,Baggio
2015-12-01,11.0,Baggio
2015-11-01,10.9,Baggio
2015-10-01,10.9,Baggio
2015-09-01,11.3,Baggio
2015-08-01,10.9,Baggio
2015-07-01,10.8,Baggio
2015-06-01,10.9,Baggio
2015-05-01,11.4,Baggio
2015-04-01,11.7,Baggio
2015-03-01,11.8,Baggio
2015-02-01,11.8,Baggio
2015-01-01,11.7,Baggio
2014-12-01,10.9,Baggio
