Month,Price (€/m^2),District
2023-03-01,2762,Baggio
2023-02-01,2750,Baggio
2023-01-01,2735,Baggio
2022-12-01,2709,Baggio
2022-11-01,2694,Baggio
2022-10-01,2679,Baggio
2022-09-01,2621,Baggio
2022-08-01,2653,Baggio
2022-07-01,2539,Baggio
2022-06-01,2486,Baggio
2022-05-01,2496,Baggio
2022-04-01,2472,Baggio
2022-03-01,2519,Baggio
2022-02-01,2539,Baggio
2022-01-01,2562,Baggio
2021-12-01,2588,Baggio
2021-11-01,2608,Baggio
2021-10-01,2639,Baggio
2021-09-01,2500,Baggio
2021-08-01,2535,Baggio
2021-07-01,2448,Baggio
2021-06-01,2474,Baggio
2021-05-01,2435,Baggio
2021-04-01,2417,Baggio
2021-03-01,2440,Baggio
2021-02-01,2434,Baggio
2021-01-01,2408,Baggio
2020-12-01,2410,Baggio
2020-11-01,2392,Baggio
2020-10-01,2395,Baggio
2020-09-01,2374,Baggio
2020-08-01,2366,Baggio
2020-07-01,2371,Baggio
2020-06-01,2349,Baggio
2020-05-01,2345,Baggio
2020-04-01,2321,Baggio
2020-03-01,2292,Baggio
2020-02-01,2323,Baggio
2020-01-01,2289,Baggio
2019-12-01,2284,Baggio
2019-11-01,2298,Baggio
2019-10-01,2310,Baggio
2019-09-01,2299,Baggio
2019-08-01,2271,Baggio
2019-07-01,2259,Baggio
2019-06-01,2162,Baggio
2019-05-01,2184,Baggio
2019-04-01,2159,Baggio
2019-03-01,2143,Baggio
2019-02-01,2166,Baggio
2019-01-01,2155,Baggio
2018-12-01,2141,Baggio
2018-11-01,2124,Baggio
2018-10-01,2116,Baggio
2018-09-01,2057,Baggio
2018-08-01,2055,Baggio
2018-07-01,2056,Baggio
2018-06-01,2060,Baggio
2018-05-01,2057,Baggio
2018-04-01,2052,Baggio
2018-03-01,2064,Baggio
2018-02-01,1991,Baggio
2018-01-01,1975,Baggio
2017-12-01,1988,Baggio
2017-11-01,1994,Baggio
2017-10-01,1991,Baggio
2017-09-01,2049,Baggio
2017-08-01,1993,Baggio
2017-07-01,1888,Baggio
2017-06-01,1900,Baggio
2017-05-01,1943,Baggio
2017-04-01,1932,Baggio
2017-03-01,1938,Baggio
2017-02-01,1884,Baggio
2017-01-01,1883,Baggio
2016-12-01,1946,Baggio
2016-11-01,1881,Baggio
2016-10-01,1870,Baggio
2016-09-01,1934,Baggio
2016-08-01,1869,Baggio
2016-07-01,1916,Baggio
2016-06-01,1957,Baggio
2016-05-01,1965,Baggio
2016-04-01,2081,Baggio
2016-03-01,2098,Baggio
2016-02-01,2098,Baggio
2016-01-01,2135,Baggio
2015-12-01,2154,Baggio
2015-11-01,2200,Baggio
2015-10-01,2185,Baggio
2015-09-01,2214,Baggio
2015-08-01,2173,Baggio
2015-07-01,2237,Baggio
2015-06-01,2251,Baggio
2015-05-01,2203,Baggio
2015-04-01,2203,Baggio
2015-03-01,2201,Baggio
2015-02-01,2217,Baggio
2015-01-01,2277,Baggio
2014-12-01,2262,Baggio
2014-11-01,2216,Baggio
2014-10-01,2272,Baggio
2014-09-01,2279,Baggio
2014-08-01,2277,Baggio
2014-07-01,2270,Baggio
2014-06-01,2184,Baggio
2014-05-01,2202,Baggio
2014-04-01,2257,Baggio
2014-03-01,2297,Baggio
2014-02-01,2319,Baggio
2014-01-01,2356,Baggio
2013-12-01,2343,Baggio
2013-11-01,2338,Baggio
