#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology. Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data.
# plus the Online Resource and date accessed.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:10394
#
# Archive: Tree-ring
#--------------------
# Contribution_Date
#	Date: 2013-05-15
#--------------------
# Title
#	Study_Name:  Central Europe. 500 BC - 2003 AD. tree ring width. Stone pine and European Larch
#--------------------
# Investigators
#       Investigators: B�ntgen. U.; Tegel. W.; Nicolussi. K; McCormick.M.; Frank. D.; Trouet. V.; Kaplan. J.O.; Herzig. F.; Heussner. K.-H.; Wanner. H.; Luterbacher. J.; Esper. J.
#--------------------
# Description_and_Notes
#	Description:  A central European summer temperature proxy was developed based on 1089 stone pine (Pinus cembra) and 457 European larch (Larix decidua) ring width series from high-elevation
#       sites in the Austrian Alps and adjacent areas. This composite record includes living trees. historical timber. and subfossil wood. and correlates at 0.72 to 0.92 with interannual to multidecadal
#       variations in instrumental June-to-August (JJA) temperature (1864�2003). The new proxy is significantly positive correlated with 20th century JJA temperatures of central Europe and the Mediterranean
#       region. and possesses high- to low-frequency agreement with an independent maximum latewood density-based temperature surrogate from the Swiss Alps (r = 0.35 to 0.44; 755 to 2003 C.E.).
#       
#--------------------
# Publication
#       Authors: Ulf B�ntgen. Willy Tegel. Kurt Nicolussi. Michael McCormick. David Frank. Valerie Trouet. Jed O. Kaplan. Franz Herzig. Karl-Uwe Heussner. Heinz Wanner. J�rg Luterbacher. Jan Esper
#       Published_Date_or_Year: 2011-01-13
#       Published_Title: 2500 Years of European Climate Variability and Human Susceptibility
#       Journal_Name: Science
#       Volume: 331
#       Edition: 
#       Issue:
#       Pages: 578-582
#       Report_Number: 
#       DOI: 10.1126/science.1197175 
#       Publication_Place: Washington. DC 20005. United States of America
#       Publisher: The American Association for the Advancement of Science (AAAS)
#       ISBN: 0036-8075
#       Online_Resource: http://www.sciencemag.org/content/331/6017/578.full.pdf
#       Other_Reference_Details: 
#       Abstract: Climate variations influenced the agricultural productivity. health risk. and conflict level of preindustrial societies. Discrimination between environmental and anthropogenic impacts 
#       on past civilizations. however. remains difficult because of the paucity of high-resolution paleoclimatic evidence. We present tree ring�based reconstructions of central European summer precipitation 
#       and temperature variability over the past 2500 years. Recent warming is unprecedented. but modern hydroclimatic variations may have at times been exceeded in magnitude and duration. Wet and warm summers 
#       occurred during periods of Roman and medieval prosperity. Increased climate variability from ~250 to 600 C.E. coincided with the demise of the western Roman Empire and the turmoil of the Migration Period. 
#       Such historical data may provide a basis for counteracting the recent political and fiscal reluctance to mitigate projected climate change. 
#------------------
# Funding_Agency
#       Funding_Agency_Name: Swiss National Science Foundation
#       Grant: NCCR-Climate
#------------------------
# Funding Agency
# 	Funding_Agency_Name: German Research Foundation
#	Grant: projects PRIME (62201185) and Paleoclimatology of the Middle East (62201236)
#------------------------
# Funding Agency
# 	Funding_Agency_Name: Austrian Science Fund FWF
#	Grant: P15828. F3113-G02
#------------------------
# Funding Agency
# 	Funding_Agency_Name: l�Institut National de Recherches Arch�ologiques Pr�ventives
#	Grant:
#------------------------
# Funding Agency
# 	Funding_Agency_Name: Andrew W. Mellon Foundation
#	Grant:
#------------------------
# Funding Agency
# 	Funding_Agency_Name: European Union
#	Grant: projects MILLENNIUM (017008). ACQWA (212250). and CIRCE (036961)
#------------------
# Site_Information 
#       Site_Name: Central Europe
#       Location: Europe>Western Europe
#	Region: PAGES Euro Med 2k
#	Country: Europe
#	Northernmost_Latitude: 47
# 	Southernmost_Latitude: 47
# 	Easternmost_Longitude: 10.7
# 	Westernmost_Longitude: 10.7
# 	Elevation: 
#------------------
# Data_Collection
#	Collection_Name: Aus11
#	Earliest_Year: -500
#	Most_Recent_Year: 2006
#	Time_Unit: years AD
#	Core_Length:
#	Notes: This dataset is about Austrian Alps Tree ring data; PAGES ID. Eur_6; Correlation with temperature. positive. CRUTEM4v ; 
#---------------
# Species
#	Species_Name: Pinus cembra L.
#	Common_Name: Stone pine
#---------------
# Species
#	Species_Name: Larix decidua Mill.
#	Common_Name: European Larch
#------------------
#
# Chronology:
#
#----------------	
# Variables
#
	Year_AD 	year...AD.....N
	T_JJArecon   	Air Temperature reconstruction. MXD . . degrees Celsius.June-August . Tree ring.1901-2000..N
#
#----------------
# Data
#
Year	T_recon
-500	0.404821659
-499	0.394896416
-498	1.208766359
-497	1.243504711
-496	-0.101365745
-495	0.657915361
-494	0.409784281
-493	0.112026984
-492	0.226167281
-491	-0.42393615
-490	-0.379272555
-489	1.02514936
-488	0.975523144
-487	0.216242038
-486	0.012774552
-485	-1.004562878
-484	1.174028008
-483	0.811756631
-482	0.072326011
-481	0.727392063
-480	-0.041814286
-479	-0.404085663
-478	0.231129903
-477	0.216242038
-476	0.325419713
-475	0.56362555
-474	1.283205684
-473	-0.175805069
-472	0.896121198
-471	1.362607629
-470	-0.165879826
-469	1.317944035
-468	0.479260983
-467	0.102101741
-466	1.288168305
-465	0.62317701
-464	-1.461124066
-463	-0.771319662
-462	-0.27009488
-461	-0.781244905
-460	-1.307282796
-459	-0.418973528
-458	-0.721693446
-457	-1.342021147
-456	-1.019450742
-455	-0.48845023
-454	-1.35194639
-453	-0.294907988
-452	-0.815983257
-451	-1.302320174
-450	-0.250244393
-449	0.330382335
-448	0.543775064
-447	1.352682386
-446	0.99537363
-445	1.30305617
-444	1.377495494
-443	1.005298874
-442	2.528823707
-441	1.848944547
-440	0.652952739
-439	2.186402816
-438	0.811756631
-437	0.543775064
-436	0.464373118
-435	-0.051739529
-434	0.881233333
-433	0.985448387
-432	1.005298874
-431	0.613251767
-430	-0.855684229
-429	1.010261495
-428	0.598363902
-427	0.19142893
-426	0.772055658
-425	-1.153441526
-424	-1.024413364
-423	-0.041814286
-422	-1.138553661
-421	0.131877471
-420	0.504074091
-419	0.99537363
-418	0.03758766
-417	1.640514439
-416	1.45689744
-415	0.186466308
-414	0.831607117
-413	0.365120686
-412	-0.612515771
-411	-1.441273579
-410	-0.567852176
-409	-1.07403958
-408	-0.36438469
-407	-0.627403635
-406	-0.359422069
-405	-0.662141987
-404	-0.389197798
-403	-0.359422069
-402	0.280756119
-401	0.652952739
-400	1.069812954
-399	0.186466308
-398	-1.222918228
-397	-0.70184296
-396	-0.404085663
-395	-0.081515259
-394	-0.845758986
-393	-0.582740041
-392	-0.354459447
-391	0.930859549
-390	0.49911147
-389	0.71746682
-388	0.980485765
-387	-0.026926421
-386	0.062400768
-385	-0.051739529
-384	-0.637328879
-383	-0.299870609
-382	-0.92019831
-381	0.340307578
-380	1.064850333
-379	1.347719764
-378	0.494148848
-377	0.107064363
-376	0.087213876
-375	-0.012038556
-374	-0.319721096
-373	0.375045929
-372	0.548737686
-371	1.878720276
-370	-0.051739529
-369	0.389933794
-368	-1.19810512
-367	-0.389197798
-366	-0.344534204
-365	-1.773769227
-364	-1.252693958
-363	-1.237806093
-362	-0.915235689
-361	-2.016937686
-360	-2.969761034
-359	-1.292394931
-358	-2.026862929
-357	-1.649703687
-356	-2.662078495
-355	-2.274994009
-354	-1.714217768
-353	-1.679479416
-352	-2.314694982
-351	-1.371796877
-350	-1.262619201
-349	-0.940048797
-348	-1.128628418
-347	-0.384235177
-346	-0.265132258
-345	-0.265132258
-344	0.727392063
-343	-1.034338607
-342	-0.667104608
-341	-0.771319662
-340	-0.637328879
-339	-0.463637122
-338	-1.039301229
-337	-0.915235689
-336	-0.567852176
-335	-0.94997404
-334	-1.133591039
-333	-0.414010906
-332	-0.860646851
-331	-0.845758986
-330	-0.538076446
-329	-0.925160932
-328	-1.570301741
-327	-1.406535228
-326	-1.565339119
-325	-1.947460983
-324	-1.743993497
-323	-1.168329391
-322	-1.595114849
-321	-1.595114849
-320	-1.848208551
-319	-1.203067742
-318	-1.178254634
-317	-1.485937174
-316	-0.731618689
-315	-0.890422581
-314	-0.647254122
-313	0.156690579
-312	0.677765847
-311	-0.334608961
-310	0.77701828
-309	0.548737686
-308	0.742279928
-307	0.265868254
-306	0.489186226
-305	0.201354173
-304	0.260905632
-303	-0.612515771
-302	-0.677029852
-301	-0.483487609
-300	-0.533113825
-299	-0.111290988
-298	-0.418973528
-297	0.380008551
-296	0.692653712
-295	-0.255207015
-294	-0.880497337
-293	0.404821659
-292	-0.091440502
-291	0.216242038
-290	0.707541577
-289	0.523924578
-288	-1.088927445
-287	0.350232821
-286	1.437046953
-285	0.955672657
-284	0.231129903
-283	0.231129903
-282	1.079738198
-281	1.198841116
-280	1.576000358
-279	0.613251767
-278	-0.081515259
-277	1.02514936
-276	1.327869278
-275	0.380008551
-274	0.250980389
-273	0.573550794
-272	0.588438658
-271	0.270830876
-270	-0.811020635
-269	0.509036713
-268	0.990411009
-267	0.518961956
-266	1.387420737
-265	0.28571874
-264	0.762130415
-263	0.424672145
-262	0.479260983
-261	-0.245281772
-260	0.682728469
-259	-0.538076446
-258	-1.049226472
-257	0.087213876
-256	-0.220468664
-255	-1.644741065
-254	-0.230393907
-253	0.424672145
-252	-0.200618177
-251	0.017737174
-250	0.638064875
-249	0.231129903
-248	-1.108777931
-247	-0.959899283
-246	-1.639778443
-245	-0.786207527
-244	-1.267581823
-243	-0.503338095
-242	-0.974787148
-241	-0.155954583
-240	-0.458674501
-239	-0.007075934
-238	-0.225431285
-237	-1.520675525
-236	-0.999600256
-235	-1.317208039
-234	-0.731618689
-233	0.042550282
-232	0.429634767
-231	0.484223605
-230	0.226167281
-229	0.74724255
-228	0.464373118
-227	-1.65962893
-226	-0.299870609
-225	-0.791170148
-224	-1.490899795
-223	-0.791170148
-222	-0.215506042
-221	0.355195443
-220	-0.121216231
-219	-0.066627394
-218	0.027662417
-217	-0.012038556
-216	-0.756431797
-215	-0.017001178
-214	-0.478524987
-213	-0.11625361
-212	-0.170842448
-211	-1.083964823
-210	-0.081515259
-209	-0.379272555
-208	-0.026926421
-207	-0.786207527
-206	-0.875534716
-205	-1.684442038
-204	-1.53556339
-203	-0.418973528
-202	-0.225431285
-201	-0.220468664
-200	-0.696880338
-199	-0.716730824
-198	0.097139119
-197	-1.242768715
-196	-0.468599744
-195	-0.538076446
-194	-1.267581823
-193	-0.255207015
-192	-0.314758474
-191	-0.155954583
-190	-0.815983257
-189	-0.200618177
-188	0.295643984
-187	-0.081515259
-186	-0.433861393
-185	-0.731618689
-184	1.094626062
-183	0.643027496
-182	-0.061664772
-181	0.057438146
-180	-0.627403635
-179	-1.848208551
-178	-0.11625361
-177	-0.002113313
-176	-0.483487609
-175	0.330382335
-174	-0.567852176
-173	0.608289145
-172	0.672803226
-171	0.62317701
-170	-0.632366257
-169	0.260905632
-168	-1.029375986
-167	-1.644741065
-166	-2.408984793
-165	-1.431348336
-164	-1.262619201
-163	-1.123665796
-162	-1.133591039
-161	-1.520675525
-160	-0.433861393
-159	-0.007075934
-158	-0.041814286
-157	1.064850333
-156	0.518961956
-155	0.151727957
-154	-0.284982744
-153	-0.190692934
-152	0.082251254
-151	1.134327035
-150	-0.051739529
-149	-0.289945366
-148	1.928346493
-147	0.752205172
-146	-0.384235177
-145	1.397345981
-144	0.816719252
-143	0.275793497
-142	-0.652216743
-141	-0.493412852
-140	-2.155891091
-139	-0.21054342
-138	-0.954936662
-137	-1.798582335
-136	-1.337058525
-135	-1.461124066
-134	-1.277507066
-133	-0.999600256
-132	-1.411497849
-131	0.360158065
-130	0.826644496
-129	-2.349433333
-128	-1.208030364
-127	-1.997087199
-126	-0.959899283
-125	-1.833320686
-124	-1.252693958
-123	-1.689404659
-122	-0.493412852
-121	-1.178254634
-120	-0.007075934
-119	-0.11625361
-118	0.791906144
-117	0.59340128
-116	-0.165879826
-115	0.022699795
-114	1.322906656
-113	-0.418973528
-112	-0.493412852
-111	-0.443786636
-110	-0.577777419
-109	-0.319721096
-108	-0.632366257
-107	0.136840092
-106	-0.811020635
-105	-0.409048285
-104	-0.280020123
-103	-0.284982744
-102	-0.463637122
-101	0.370083308
-100	-0.741543932
-99	-1.153441526
-98	-0.969824526
-97	-0.850721608
-96	-0.51822596
-95	0.102101741
-94	-0.260169636
-93	0.712504199
-92	0.796868766
-91	0.31549447
-90	0.325419713
-89	1.744729493
-88	1.814206196
-87	0.90108382
-86	1.104551306
-85	1.342757143
-84	0.652952739
-83	1.079738198
-82	0.598363902
-81	0.846494982
-80	-0.721693446
-79	0.459410497
-78	0.320457092
-77	-0.121216231
-76	0.464373118
-75	-0.299870609
-74	0.28571874
-73	0.707541577
-72	-0.146029339
-71	1.169065387
-70	-0.08647788
-69	-0.463637122
-68	0.107064363
-67	-1.605040092
-66	-0.974787148
-65	0.156690579
-64	0.171578443
-63	-0.08647788
-62	0.280756119
-61	1.357645008
-60	0.250980389
-59	-0.036851664
-58	0.241055146
-57	0.380008551
-56	-1.332095904
-55	-1.431348336
-54	-1.287432309
-53	-1.307282796
-52	-0.925160932
-51	-0.458674501
-50	-0.776282284
-49	-1.927610497
-48	-1.277507066
-47	-1.520675525
-46	-1.396609985
-45	-2.820882386
-44	-1.411497849
-43	-2.423872657
-42	-1.75391874
-41	-1.947460983
-40	-2.552900819
-39	-2.051676037
-38	-2.528087711
-37	-1.868059037
-36	-2.289881874
-35	-1.525638146
-34	-0.220468664
-33	-0.726656068
-32	-1.545488633
-31	-1.768806605
-30	-1.317208039
-29	-1.332095904
-28	-0.815983257
-27	-0.314758474
-26	-1.396609985
-25	-1.118703175
-24	-0.48845023
-23	-0.141066718
-22	-1.461124066
-21	-0.76635704
-20	-0.185730312
-19	-0.835833743
-18	-1.570301741
-17	-2.314694982
-16	-1.6298532
-15	-1.461124066
-14	-1.123665796
-13	-1.35194639
-12	-0.081515259
-11	-0.324683717
-10	-0.607553149
-9	-0.761394419
-8	-1.416460471
-7	-2.443723144
-6	-1.371796877
-5	-0.721693446
-4	-0.696880338
-3	-0.910273067
-2	-0.235356528
-1	0.424672145
1	-0.48845023
2	-1.8134702
3	-2.399059549
4	-1.525638146
5	-0.592665284
6	-0.150991961
7	0.568588172
8	0.538812442
9	-0.036851664
10	-0.230393907
11	-0.428898771
12	0.543775064
13	-0.021963799
14	0.002849309
15	0.047512903
16	-1.977236713
17	0.49911147
18	-0.101365745
19	-1.138553661
20	-1.922647875
21	-1.897834767
22	-1.65962893
23	-1.302320174
24	-2.364321198
25	-1.163366769
26	-1.585189606
27	-0.930123554
28	-1.113740553
29	-2.602527035
30	-1.461124066
31	-1.987161956
32	-0.746506554
33	-0.503338095
34	-0.026926421
35	1.174028008
36	-0.061664772
37	0.484223605
38	0.71746682
39	1.3328319
40	0.19142893
41	0.409784281
42	1.079738198
43	0.682728469
44	0.504074091
45	0.330382335
46	1.352682386
47	1.958122222
48	1.397345981
49	-0.091440502
50	0.360158065
51	0.404821659
52	0.742279928
53	0.643027496
54	0.186466308
55	1.188915873
56	-0.587702663
57	-1.396609985
58	0.394896416
59	-0.850721608
60	0.509036713
61	1.337794521
62	0.047512903
