source = https://gsapubs.figshare.com/articles/journal_contribution/Supplemental_material_Evolution_of_middle_to_Late_Cretaceous_oceans_A_55_m_y_record_of_Earth_s_temperature_and_carbon_cycle/12527942
tbase = 14°C

Anomaly(°C)	YB 2015
0.24413333333333398	1665.0
0.36733333333333107	2465.0000000000005
0.36733333333333107	3265.0
0.021199999999998553	4045.0
-0.16653333333333364	4845.0
0.04466666666666619	5445.0
0.0035999999999987153	6245.0
-0.07266666666666666	7045.000000000001
0.25	7865.0
0.28200000000000003	8665.0
-0.5420000000000016	9625.0
-0.7884000000000011	10424.999999999998
-1.1579999999999995	11225.0
-1.3691999999999993	11824.999999999998
-2.026266666666668	12824.999999999998
-2.2433333333333323	13665.000000000002
-3.0764000000000014	14844.999999999996
-3.287600000000001	16045.000000000002
-4.079599999999999	17045.0
-4.507866666666667	17645.000000000004
-4.502000000000001	18445.0
-4.443333333333332	18865.000000000004
-4.613466666666666	19545.0
-4.378800000000002	20544.999999999996
-4.1265333333333345	21744.999999999996
-4.255599999999999	22545.0
-4.1676	23744.999999999996
-4.0385333333333335	24865.000000000004
-4.062000000000001	25865.000000000004
-4.044400000000001	26665.000000000004
-3.674800000000001	27865.000000000004
-3.575066666666668	28765.000000000004
-3.4284	29764.999999999996
-3.3228000000000026	30765.0
-3.293466666666667	31765.0
-3.5868	32464.999999999996
-3.487066666666667	33565.0
-3.575066666666668	34385.0
-3.5164000000000026	35184.99999999999
-3.5457333333333345	36345.0
-3.281733333333335	37645.0
-3.334533333333333	38445.0
-3.1643999999999988	39425.00000000001
-3.1761333333333344	40425.00000000001
-3.1409333333333347	41125.0
-3.2758666666666674	41924.99999999999
-3.2054666666666645	43065.0
-3.1409333333333347	44264.99999999999
-3.0998666666666654	45464.99999999999
-3.070533333333332	46604.99999999999
-3.070533333333332	47524.99999999999
-3.0587999999999997	48385.00000000001
-3.1643999999999988	49125.0
-3.0470666666666677	49925.0
-3.011866666666668	50724.99999999999
-2.941466666666665	51404.99999999999
-2.80066666666667	51985.0
-2.5542666666666687	52845.00000000001
-2.730266666666667	53464.99999999999
-2.759599999999999	54265.0
-2.812400000000002	55244.99999999999
-2.612933333333336	56065.00000000001
-2.912133333333335	57065.00000000001
-3.1643999999999988	58184.999999999985
-3.000133333333336	59184.999999999985
-2.7889333333333344	60605.0
-3.0822666666666674	62004.99999999999
-3.0764000000000014	62804.999999999985
-2.906266666666669	63565.0
-3.2406666666666677	64364.99999999999
-3.3579999999999988	65165.00000000001
-3.228933333333334	66165.0
-2.8945333333333334	67465.0
-2.6540000000000017	68965.0
-2.3254666666666672	70365.0
-2.0907999999999998	71585.0
-2.096666666666666	72985.0
-2.208133333333331	74085.0
-2.1670666666666687	75085.00000000001
-1.9147999999999996	76664.99999999999
-1.6332000000000022	77844.99999999999
-1.3222666666666676	78645.00000000001
-1.2635999999999985	79445.00000000001
-1.3515999999999977	80625.0
-1.304666666666666	81245.0
-1.5334666666666656	82045.00000000001
-1.9323999999999995	83245.0
-1.8268000000000022	84644.99999999999
-1.7094666666666676	85664.99999999997
-1.8444000000000003	86864.99999999999
-1.9441333333333333	87944.99999999999
-1.9206666666666656	88745.0
-1.7681333333333331	89544.99999999997
-1.8033333333333346	90344.99999999999
-1.862	91124.99999999999
-1.4806666666666661	92244.99999999999
-1.1462666666666674	93244.99999999999
-1.3457333333333317	94245.0
-1.2929333333333322	95185.0
-1.1169333333333338	96205.0
-1.3046666666666678	97005.0
-1.4278666666666666	98004.99999999999
-1.2342666666666666	98884.99999999999
-1.257733333333336	99745.00000000001
-1.111066666666666	100945.0
-0.9937333333333349	101945.0
-0.9409333333333336	102744.99999999999
-1.1462666666666674	103905.0
-1.0934666666666661	105304.99999999999
-1.2929333333333322	106304.99999999999
-1.4748	107305.0
-1.592133333333333	108905.0
-1.4220000000000006	110065.00000000001
-1.486533333333334	111065.00000000001
-1.1755999999999993	112065.00000000001
-0.9409333333333336	113065.00000000001
-0.7590666666666674	113764.99999999999
-0.6124000000000009	114565.0
-0.8353333333333346	115565.0
-1.0348000000000006	116525.0
-0.6065333333333349	117525.0
-0.33080000000000176	118425.0
-0.22520000000000095	119225.0
0.5166666666666657	119965.0
1.5086666666666666	120605.0
0.8900000000000006	121605.0
1.0713333333333317	122485.0
