source = http://www.lorraine-lisiecki.com/LR04stack.txt

Anomaly(°C)	YB 2015
0.3566666666666656	65.0
0.3566666666666656	1065.0
0.6233333333333313	2065.0
0.13266666666666715	3065.0
0.1033333333333335	4065.0000000000005
0.22066666666666634	5065.0
0.015333333333332533	6065.0
-0.10200000000000031	7065.0
-0.2486666666666668	8064.999999999999
-0.13133333333333397	9065.0
-0.5419999999999998	10065.0
-0.7766666666666673	11065.0
-1.7153333333333336	12065.0
-2.1259999999999994	13065.0
-2.7713333333333345	14065.0
-3.387333333333334	15065.0
-4.15	16065.000000000002
-4.5313333333333325	17065.0
-4.942	18065.0
-4.766	19065.0
-4.854000000000001	20065.0
-4.6193333333333335	21065.0
-4.5313333333333325	22065.0
-4.472666666666669	23065.0
-4.3260000000000005	24065.0
-4.355333333333334	25065.0
-3.915333333333333	26065.0
-4.15	27065.0
-4.15	28065.0
-4.091333333333335	29065.0
-3.768666666666668	30065.0
-3.768666666666668	31065.0
-3.709999999999999	32064.999999999996
-3.6513333333333335	33065.0
-3.680666666666667	34065.0
-3.5340000000000007	35065.0
-3.2700000000000014	36065.0
-3.2993333333333332	37065.0
-3.1526666666666667	38065.0
-3.5633333333333326	39065.0
-3.5633333333333326	40065.0
-3.4459999999999997	41065.0
-3.416666666666666	42065.0
-3.2993333333333332	43065.0
-3.3580000000000023	44065.0
-2.918000000000001	45065.0
-3.006000000000002	46065.0
-3.0646666666666658	47065.0
-3.2700000000000014	48065.0
-3.2993333333333332	49065.0
-2.947333333333333	50065.0
-2.918000000000001	51065.0
-2.859333333333332	52065.0
-3.2406666666666677	53065.0
-3.0646666666666658	54065.0
-2.859333333333332	55065.0
-2.9766666666666666	56065.0
-3.2113333333333323	57065.0
-3.387333333333334	58065.0
-3.2113333333333323	59065.0
-3.709999999999999	60065.0
-3.4459999999999997	61065.0
-3.709999999999999	62065.0
-3.504666666666667	63065.0
-3.006000000000002	64065.0
-3.3580000000000023	65065.0
-3.6220000000000017	66065.0
-3.2406666666666677	67065.0
-3.1820000000000004	68065.0
-3.328666666666667	69065.0
-2.8886666666666674	70065.0
-2.5953333333333326	71065.0
-2.5660000000000007	72065.0
-2.624666666666668	73065.0
-2.0380000000000003	74065.0
-1.8033333333333346	75065.0
-2.1259999999999994	76065.0
-2.1846666666666668	77065.0
-2.096666666666666	78065.0
-2.096666666666666	79065.0
-1.6566666666666663	80065.0
-1.4220000000000006	81065.0
-1.3633333333333333	82065.0
-1.4513333333333343	83065.0
-1.4220000000000006	84065.0
-1.8033333333333346	85065.0
-2.1259999999999994	86065.0
-2.4779999999999998	87065.0
-2.2726666666666677	88065.0
-2.1846666666666668	89065.0
-2.1259999999999994	90065.0
-2.0380000000000003	91065.0
-1.8913333333333338	92065.0
-1.6566666666666663	93065.0
-1.4806666666666661	94065.0
-1.275333333333334	95065.0
-1.2166666666666668	96065.0
-1.4513333333333343	97065.0
-1.6566666666666663	98065.0
-1.304666666666666	99065.0
-1.392666666666667	100065.0
-1.7153333333333336	101065.0
-1.5393333333333334	102065.0
-1.597999999999999	103065.0
-1.7153333333333336	104065.0
-1.5099999999999998	105065.0
-1.9499999999999993	106065.0
-2.067333333333334	107065.0
-2.2726666666666677	108065.0
