Data,url,raw,utente,links,risposte,like,quote,retweet
2023-01-30 07:20:30+00:00,https://twitter.com/Agenzia_Ansa/status/1619958717104914433,"Nelle zone peri-costiere dell'Antartide il riscaldamento globale sta causando un aumento del rilascio di gas serra dal suolo ghiacciato (permafrost), fenomeno che potrebbe estendersi lungo gli oltre 24 mila chilometri di costa del continente bianco. #ANSA https://t.co/hR80cbGw5G",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/canale_scienza…', url='https://www.ansa.it/canale_scienza_tecnica/notizie/terra_poli/2023/01/26/antartide-col-clima-che-cambia-piu-gas-serra-dal-permafrost-_20b46546-6a54-461c-a094-8d41e33b4590.html', tcourl='https://t.co/hR80cbGw5G', indices=(256, 279))]",9,35,6,22
2023-01-19 09:02:22+00:00,https://twitter.com/Agenzia_Ansa/status/1615998089436827651,"Nel cuore della Groenlandia le temperature non sono mai state così alte da almeno un millennio. Il riscaldamento globale ha raggiunto anche la parte centrale dell'isola. Dal 2001 al 2011 sono stati registrati 1,5 gradi in più rispetto al XX secolo #ANSA
https://t.co/J9tZGZnZwv",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/canale_scienza…', url='https://www.ansa.it/canale_scienza_tecnica/notizie/terra_poli/2023/01/19/il-riscaldamento-ha-raggiunto-anche-il-cuore-della-groenlandia_0c7b483e-183b-4b5f-9bdc-226255de6f50.html', tcourl='https://t.co/J9tZGZnZwv', indices=(254, 277))]",91,119,24,44
2022-11-29 06:45:11+00:00,https://twitter.com/Agenzia_Ansa/status/1597481783897063424,"Risuscitati 13 virus ""zombie"" che erano rimasti intrappolati per millenni nel permafrost della Siberia: il più antico risale a quasi 50.000 anni fa e, al pari degli altri, è ancora in grado di infettare. Allerta per il riscaldamento globale. #ANSA
https://t.co/kJVDCR3Jsq",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/7QQi50LPlmh', url='http://ow.ly/7QQi50LPlmh', tcourl='https://t.co/kJVDCR3Jsq', indices=(248, 271))]",522,544,109,175
2022-11-20 05:04:37+00:00,https://twitter.com/Agenzia_Ansa/status/1594194985725104131,"La Cop27 ha approvato il documento finale della conferenza: salvo l'obiettivo di mantenere il riscaldamento globale entro 1,5 gradi, ma non si dice nulla su riduzione o eliminazione dell'uso dei combustibili fossili https://t.co/XeH0vurzZs https://t.co/LQjBvHGQrI",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/CWQK50LIYKO', url='http://ow.ly/CWQK50LIYKO', tcourl='https://t.co/XeH0vurzZs', indices=(216, 239))]",15,42,4,24
2022-11-19 18:38:10+00:00,https://twitter.com/Agenzia_Ansa/status/1594037332671287296,"Alla Cop27 i Paesi ricchi guidati da Usa e Ue, e quelli emergenti e in via di sviluppo guidati dalla Cina, hanno concordato di istituire un fondo per ristorare le perdite e i danni causati dal riscaldamento globale nei Paesi più poveri e vulnerabili. #ANSA
https://t.co/KXxUZV44WJ",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/sito/notizie/m…', url='https://www.ansa.it/sito/notizie/mondo/2022/11/19/cop27-raggiunto-laccordo-sui-ristori-per-i-danni-del-cambiamento-climatico_f90cdd0a-cba0-4118-8a21-9601d135307b.html', tcourl='https://t.co/KXxUZV44WJ', indices=(257, 280))]",1,19,0,7
2022-11-19 15:44:47+00:00,https://twitter.com/Agenzia_Ansa/status/1593993699654000644,"Cop27, raggiunto l'accordo sul fondo per i ristori delle perdite e i danni del riscaldamento globale #ANSA https://t.co/UlKrhVV53K",https://twitter.com/Agenzia_Ansa,,2,9,0,0
2022-11-17 08:14:27+00:00,https://twitter.com/Agenzia_Ansa/status/1593155593061425153,"La bozza di documento finale della Cop27  ""riconosce la crescente urgenza di affrontare le perdite e di danni del riscaldamento globale"", ma lascia ancora vuoto il paragrafo sul come finanziare i ristori.

#ANSA https://t.co/2i08ffYLCa",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/sito/notizie/m…', url='https://www.ansa.it/sito/notizie/mondo/2022/11/17/cop27-nella-bozza-del-documento-e-ancora-vuoto-il-paragrafo-loss-damage_3ba73136-b9f9-402b-8262-2f516c7cf8e0.html', tcourl='https://t.co/2i08ffYLCa', indices=(212, 235))]",0,9,2,8
2022-11-06 12:03:54+00:00,https://twitter.com/Agenzia_Ansa/status/1589227070965415941,"I paesi poveri e vulnerabili, poco responsabili del riscaldamento globale ma molto esposti alle sue conseguenze, insistono da mesi affinché la questione dei danni sia ufficialmente inserita nell'agenda della Cop mentre i Paesi ricchi sono stati riluttanti sulla questione #ANSA https://t.co/6tJeztv49Q",https://twitter.com/Agenzia_Ansa,,2,15,1,5
2022-10-15 14:41:48+00:00,https://twitter.com/Agenzia_Ansa/status/1581294274217660416,"Il Dipartimento della pesca e della selvaggina dell'Alaska ha annullato per la prima volta la stagione del granchio, lo 'snow crab' tipico di queste zone, a causa di un drastico calo del numero di questi animali. Tra le cause il riscaldamento globale #ANSA https://t.co/eyTTXFcIcZ",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/sito/notizie/m…', url='https://www.ansa.it/sito/notizie/mondo/2022/10/15/lalaska-annulla-la-caccia-al-granchio-e-la-prima-volta_ca092d6c-5ef8-4cc0-8245-1f9908bccdb1.html', tcourl='https://t.co/eyTTXFcIcZ', indices=(257, 280))]",5,56,3,12
2022-08-10 09:08:33+00:00,https://twitter.com/Agenzia_Ansa/status/1557292807957643264,"Clima, i ghiacciai alpini si riducono ""a ritmo inimmaginabile, più di 200 sono già scomparsi da fine Ottocento, lasciando il posto a detriti e rocce"", a causa del riscaldamento globale. Lo denuncia Legambiente #ANSA https://t.co/iV2TTw2rdf",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/canale_ambient…', url='https://www.ansa.it/canale_ambiente/notizie/clima/2022/08/10/clima-200-ghiacciai-alpini-scomparsi-da-fine-ottocento_fee7037c-1eff-4e43-bad4-03c497c56204.html', tcourl='https://t.co/iV2TTw2rdf', indices=(216, 239))]",29,73,5,32
2021-12-17 12:13:51+00:00,https://twitter.com/Agenzia_Ansa/status/1471815905386676224,Il ghiaccio in Antartide potrebbe essere più vulnerabile del previsto di fronte al riscaldamento globale. Lo dimostra uno studio pubblicato su Nature guidato dall'Imperial College di Londra a cui ha partecipato anche l'Università di Siena. #ANSA https://t.co/TwcPFVtjUF,https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/canale_scienza…', url='https://www.ansa.it/canale_scienza_tecnica/notizie/terra_poli/2021/12/16/clima-il-ghiaccio-in-antartide-piu-vulnerabile-del-previsto_bff237df-2204-4af6-a424-9684045ab64f.html', tcourl='https://t.co/TwcPFVtjUF', indices=(246, 269))]",2,23,1,13
2021-09-05 05:45:02+00:00,https://twitter.com/Agenzia_Ansa/status/1434392104881512448,"Il 37% delle specie di squali e razze è a rischio estinzione a causa della pesca, del degrado degli habitat marini e del riscaldamento globale. Lo ha spiegato l'Unione mondiale per la conservazione della natura (Iucn) nel suo congresso annuale #ANSA https://t.co/O2EAqlu3xt",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/j3cy30rT3Z4', url='http://ow.ly/j3cy30rT3Z4', tcourl='https://t.co/O2EAqlu3xt', indices=(250, 273))]",3,39,1,14
2021-09-04 07:15:03+00:00,https://twitter.com/Agenzia_Ansa/status/1434052369843728387,"Il riscaldamento globale può portare anche freddo estremo e nevicate eccezionali. E' quello che è successo nel febbraio scorso, con le tempeste di neve eccezionali sul Texas, che hanno fatto decine di morti. #ANSA  https://t.co/KaVnhEoobf",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/D0zk50G3Sgy', url='http://ow.ly/D0zk50G3Sgy', tcourl='https://t.co/KaVnhEoobf', indices=(215, 238))]",7,16,2,10
2021-08-03 05:40:01+00:00,https://twitter.com/Agenzia_Ansa/status/1422432046132121636,"Dal 2013 al 2019 il danno economico per l'Italia provocato da alluvioni e frane, eventi estremi intensificati dal riscaldamento globale, è stato pari a 20,3 miliardi di euro. E' quanto emerge da uno studio di Greenpeace Italia #ANSA https://t.co/bP2uGEF9Lq",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ansa.it/canale_ambient…', url='https://www.ansa.it/canale_ambiente/notizie/clima/2021/08/02/greenpeace-a-italia-danno-203-miliardi-in-7-anni-per-frane_30594122-ab93-499e-9bdd-71963331aa9d.html', tcourl='https://t.co/bP2uGEF9Lq', indices=(233, 256))]",6,29,4,20
2021-06-23 04:03:56+00:00,https://twitter.com/Agenzia_Ansa/status/1407549963245133824,"Clima, Onu: il riscaldamento globale mette l'umanità a rischio
https://t.co/VPAmxNma0R",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/sDYU50FgrXM', url='http://ow.ly/sDYU50FgrXM', tcourl='https://t.co/VPAmxNma0R', indices=(63, 86))]",25,46,5,22
2020-07-01 10:13:53+00:00,https://twitter.com/Agenzia_Ansa/status/1278270594027589632,"Il #riscaldamentoglobale ha messo il turbo, cancellati 6.000 anni di freddo.  In soli 150 anni, sotto la spinta dei #gasserra
#ANSA
https://t.co/UrLEBLvV88",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/G5JP30qVd6K', url='http://ow.ly/G5JP30qVd6K', tcourl='https://t.co/UrLEBLvV88', indices=(132, 155))]",19,55,11,39
2019-07-29 16:55:41+00:00,https://twitter.com/Agenzia_Ansa/status/1155884611345498113,In collegamento dalla #Iss @astro_luca  lancia l'allarme sul riscaldamento globale: 'In 6 anni ho visto deserti avanzare' @esa  GUARDA IL VIDEO #ANSA  https://t.co/DKRSLcts7r,https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/c5rN30peYoz', url='http://ow.ly/c5rN30peYoz', tcourl='https://t.co/DKRSLcts7r', indices=(151, 174))]",3,66,3,34
2019-06-24 09:21:45+00:00,https://twitter.com/Agenzia_Ansa/status/1143086799943819264,Anche a #tavola si combatte il riscaldamento globale #clima #ambiente #food #cucina #ANSA https://t.co/DhIGfDNIQv,https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/MDpc30oZBnT', url='http://ow.ly/MDpc30oZBnT', tcourl='https://t.co/DhIGfDNIQv', indices=(90, 113))]",1,13,1,2
2019-05-26 06:45:03+00:00,https://twitter.com/Agenzia_Ansa/status/1132538117611761664,"Il riscaldamento globale desertifica la Namibia - Foto e Video
https://t.co/kbFuxCBBMd",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/FC7730oPc8v', url='http://ow.ly/FC7730oPc8v', tcourl='https://t.co/kbFuxCBBMd', indices=(63, 86))]",6,27,4,24
2019-05-25 14:54:55+00:00,https://twitter.com/Agenzia_Ansa/status/1132299007210991617,"Il riscaldamento globale desertifica la Namibia - Foto e Video
https://t.co/kbFuxCBBMd",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/FC7730oPc8v', url='http://ow.ly/FC7730oPc8v', tcourl='https://t.co/kbFuxCBBMd', indices=(63, 86))]",6,28,3,15
2018-01-14 15:25:21+00:00,https://twitter.com/Agenzia_Ansa/status/952562286174097408,"#Renzi: 'Prima #Bossi con la canotta, ora #Salvini con la felpa. Effetti del riscaldamento globale' #VIDEO https://t.co/fWDZmd4cvG",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/lMEL30hLzpb', url='http://ow.ly/lMEL30hLzpb', tcourl='https://t.co/fWDZmd4cvG', indices=(107, 130))]",25,45,3,17
2016-03-08 12:25:32+00:00,https://twitter.com/Agenzia_Ansa/status/707180448405966848,"#Clima Con il riscaldamento globale, più pioggia sui deserti https://t.co/cekD7DxBlH",https://twitter.com/Agenzia_Ansa,"[TextLink(text='ow.ly/ZcEBg', url='http://ow.ly/ZcEBg', tcourl='https://t.co/cekD7DxBlH', indices=(61, 84))]",0,10,0,6
