,Data,url,raw,utente,links,risposte,like,quote,retweet
0,2022-10-19 14:37:02+00:00,https://twitter.com/repubblica/status/1582742627421937664,"Con i microfoni sotto i ghiacci per registrare la ""voce del mare"" minacciato dal riscaldamento globale [di Enrico Franceschini] https://t.co/UBLvo3zEuw",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/esteri/2022/10…', url='https://www.repubblica.it/esteri/2022/10/19/news/artico_registrazioni_riscaldamento_globale_ghiacci_artista_mcdonald-370709922/', tcourl='https://t.co/UBLvo3zEuw', indices=(128, 151))]",2,12,0,3
1,2022-08-05 06:52:33+00:00,https://twitter.com/repubblica/status/1555446644002328576,Il riscaldamento globale è la più importante storia che non abbiamo mai raccontato [di Riccardo Luna] https://t.co/CqitssXybu,https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/dossier/i-racc…', url='https://www.greenandblue.it/dossier/i-racconti-del-cambiamento-climatico/2022/08/05/news/racconti_scrittori_clima-360407724/', tcourl='https://t.co/CqitssXybu', indices=(102, 125))]",0,8,0,3
2,2022-07-06 07:19:10+00:00,https://twitter.com/repubblica/status/1544581707256303617,Il riscaldamento globale è come il meteorite di DiCaprio: ma i nostri gesti possono fermarlo [di Riccardo Luna] https://t.co/GQSojCMK9X,https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2022/07/06/new…', url='https://www.greenandblue.it/2022/07/06/news/il_meteorite_di_dicaprio-356665511/', tcourl='https://t.co/GQSojCMK9X', indices=(112, 135))]",7,17,1,4
3,2022-05-31 10:53:05+00:00,https://twitter.com/repubblica/status/1531589578338889728,"Stefano Mancuso: ""Le piante ci salveranno dal riscaldamento globale"" [di Cristina Nadotti] https://t.co/QUGDcV365L",https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/dossier/festiv…', url='https://www.greenandblue.it/dossier/festival-greenandblue/2022/05/29/news/stefano_mancuso-351445086/', tcourl='https://t.co/QUGDcV365L', indices=(91, 114))]",2,15,0,7
4,2021-10-06 06:41:03+00:00,https://twitter.com/repubblica/status/1445640228941623301,"Fisica, Giorgio Parisi &amp; Co: un Nobel per gli studi che aiutano a capire il riscaldamento globale https://t.co/vmv2EUlFJW (scopri la app) #RepSelezione",https://twitter.com/repubblica,"[TextLink(text='greenandblue.it/2021/10/05/new…', url='https://www.greenandblue.it/2021/10/05/news/fisica_giorgio_parisi_co_un_nobel_per_il_clima-320901690/?ref=twhr', tcourl='https://t.co/vmv2EUlFJW', indices=(102, 125))]",0,12,1,2
5,2021-09-30 16:06:07+00:00,https://twitter.com/repubblica/status/1443608105095360513,"Vento e riscaldamento globale, in quattro anni il Monte Bianco si è abbassato di un metro [di Carlotta Rocci] https://t.co/QOFt6b6XrO",https://twitter.com/repubblica,"[TextLink(text='torino.repubblica.it/cronaca/2021/0…', url='https://torino.repubblica.it/cronaca/2021/09/30/news/vento_e_riscaldamento_globale_in_quattro_anni_il_monte_bianco_si_e_abbassato_di_un_metro-320132994/', tcourl='https://t.co/QOFt6b6XrO', indices=(110, 133))]",6,7,1,7
6,2021-09-30 09:12:00+00:00,https://twitter.com/repubblica/status/1443503886548017152,"Clima, Draghi a Pre-Cop26 a Milano: ""Impegno a contenere il riscaldamento globale sotto 1,5 gradi"". Incontro con Greta Thunberg
https://t.co/dZioCOgbee",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/dossier/cop26/2021/09/30/news/pre-cop26_draghi_incontra_greta_thunberg-320064652/?ref=tgpr', tcourl='https://t.co/dZioCOgbee', indices=(128, 151))]",6,14,1,2
7,2021-08-10 13:40:33+00:00,https://twitter.com/repubblica/status/1425089688151281664,Con il riscaldamento globale le isole del Pacifico spariranno in 80 anni https://t.co/cSyEJfy2CF,https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/08/10/news/con_il_riscaldamento_globale_le_isole_del_pacifico_spariranno_in_80_anni-313575874/?rss&ref=twhr', tcourl='https://t.co/cSyEJfy2CF', indices=(73, 96))]",14,32,3,8
8,2021-08-09 15:29:03+00:00,https://twitter.com/repubblica/status/1424754607641620484,Il pinguino imperatore ultima vittima del riscaldamento globale https://t.co/lzDzBJbFaX,https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/08/09/news/il_pinguino_imperatore_ultima_vittima_del_riscaldamento_globale-313490526/?rss&ref=twhr', tcourl='https://t.co/lzDzBJbFaX', indices=(64, 87))]",4,29,0,7
9,2021-08-09 07:04:44+00:00,https://twitter.com/repubblica/status/1424627692662661121,"Clima, rapporto Onu:senza riduzioni immediate e su larga scala delle emissioni, c'e' la possibilita' di superare di 1,5° il riscaldamento globale gia' nei prossimi decenni
https://t.co/kCT9fPDTR7",https://twitter.com/repubblica,"[TextLink(text='repubblica.it/green-and-blue…', url='https://www.repubblica.it/green-and-blue/2021/08/09/news/cambio_climatico_il_rapporto_ipcc_i_cambiamenti_climatici_sono_diffusi_rapidi_e_si_stanno_intensificando_-313410983/?ref=tgpr', tcourl='https://t.co/kCT9fPDTR7', indices=(172, 195))]",5,25,1,14
