Data,url,raw,utente,links,risposte,like,quote,retweet
2022-10-04 13:42:09+00:00,https://twitter.com/SkyTG24/status/1577292993643806720,"Antartide, ghiacciai più sensibili al riscaldamento globale: lo studio https://t.co/4ffn65LBnN",https://twitter.com/SkyTG24,"[TextLink(text='dlvr.it/SZV4L4', url='http://dlvr.it/SZV4L4', tcourl='https://t.co/4ffn65LBnN', indices=(71, 94))]",1,13,0,2
2021-08-20 07:30:01+00:00,https://twitter.com/SkyTG24/status/1428620319057645569,"La protesta di #GretaThunberg è iniziata il #20agosto 2018 in seguito a una serie di incendi avvenuti nelle foreste svedesi, sintomo delle conseguenze del riscaldamento globale. Allora iniziò ad andare davanti al Parlamento per protestare: nascono così i #FridaysForFuture https://t.co/InDqNsAqJY",https://twitter.com/SkyTG24,,19,87,0,20
2021-06-23 07:29:03+00:00,https://twitter.com/SkyTG24/status/1407601581747367941,"Onu, il riscaldamento globale può mettere a rischio l’umanità https://t.co/R0YsTtLALo",https://twitter.com/SkyTG24,"[TextLink(text='tg24.sky.it/salute-e-benes…', url='https://tg24.sky.it/salute-e-benessere/2021/06/23/onu-riscaldamento-globale-umanita?social=twitter_skytg24_photo_null', tcourl='https://t.co/R0YsTtLALo', indices=(62, 85))]",19,24,2,8
2020-10-13 09:15:01+00:00,https://twitter.com/SkyTG24/status/1315944117025665024,Il #riscaldamentoglobale è in corso ed è causato dalle attività umane. Lo dimostrano le evidenze scientifiche. Ecco tutto quello che c'è da sapere ⤵️ https://t.co/El89ooC023,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/cnH4s', url='http://sky.tg/cnH4s', tcourl='https://t.co/El89ooC023', indices=(150, 173))]",2,2,0,1
2020-07-25 17:54:03+00:00,https://twitter.com/SkyTG24/status/1287083710060195840,"Riscaldamento globale nell'Artico, caldo record alle isole Svalbard: toccati i 21,2 gradi https://t.co/Hupa86FE6o",https://twitter.com/SkyTG24,"[TextLink(text='tg24.sky.it/ambiente/2020/…', url='https://tg24.sky.it/ambiente/2020/07/25/riscaldamento-globale-svalbard-clima?social=twitter_skytg24_photo_null', tcourl='https://t.co/Hupa86FE6o', indices=(90, 113))]",8,21,2,12
2020-07-20 17:29:02+00:00,https://twitter.com/SkyTG24/status/1285265473890684928,"Riscaldamento globale, orsi polari a rischio estinzione entro il 2100. FOTO https://t.co/ycYaBRVJQr",https://twitter.com/SkyTG24,"[TextLink(text='tg24.sky.it/ambiente/2020/…', url='https://tg24.sky.it/ambiente/2020/07/20/orsi-polari-estinzione-rischio?social=twitter_skytg24_photo_null', tcourl='https://t.co/ycYaBRVJQr', indices=(76, 99))]",4,42,1,15
2020-07-01 10:01:32+00:00,https://twitter.com/SkyTG24/status/1278267487532937217,"Riscaldamento globale, raggiunti livelli mai visti in 6mila anni https://t.co/MFw9PQBLQl",https://twitter.com/SkyTG24,"[TextLink(text='tg24.sky.it/scienze/2020/0…', url='https://tg24.sky.it/scienze/2020/07/01/riscaldamento-globale-temperature-record?social=twitter_skytg24_photo_null', tcourl='https://t.co/MFw9PQBLQl', indices=(65, 88))]",39,66,23,35
2019-12-11 14:33:34+00:00,https://twitter.com/SkyTG24/status/1204771209562353665,"Greta Thunberg, la ragazza contro il riscaldamento globale https://t.co/ETf7cUII0X",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/j3hg6', url='http://sky.tg/j3hg6', tcourl='https://t.co/ETf7cUII0X', indices=(59, 82))]",3,3,0,0
2019-12-05 13:41:34+00:00,https://twitter.com/SkyTG24/status/1202583794399596544,Nell’Artide riscaldamento globale più veloce che in altre regioni https://t.co/qWFiSq9561,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2rdEu', url='http://sky.tg/2rdEu', tcourl='https://t.co/qWFiSq9561', indices=(66, 89))]",1,5,0,5
2019-11-20 15:56:34+00:00,https://twitter.com/SkyTG24/status/1197181952815595522,"Riscaldamento globale: a Londra mostra su meduse, tra le poche specie che ne beneficiano https://t.co/WyyuVlA3q7",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/n4rpa', url='http://sky.tg/n4rpa', tcourl='https://t.co/WyyuVlA3q7', indices=(89, 112))]",1,1,0,0
2019-09-23 12:20:05+00:00,https://twitter.com/SkyTG24/status/1176108975613329408,"Greta Thunberg, la ragazza contro il riscaldamento globale https://t.co/U2ZzvfsFC4",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2Bbnw', url='http://sky.tg/2Bbnw', tcourl='https://t.co/U2ZzvfsFC4', indices=(59, 82))]",52,77,2,12
2019-09-20 07:46:42+00:00,https://twitter.com/SkyTG24/status/1174953012189515777,"#ClimateStrike
In migliaia sono già scesi in piazza per chiedere azioni significative per ridurre gli effetti del riscaldamento globale. Le immagini ⬇️
 https://t.co/1H3kTK2gsv",https://twitter.com/SkyTG24,"[TextLink(text='tg24.sky.it/mondo/photogal…', url='https://tg24.sky.it/mondo/photogallery/2019/09/20/global-climate-strike.html?social=twitter_skytg24_link_null', tcourl='https://t.co/1H3kTK2gsv', indices=(153, 176))]",3,20,0,6
2019-08-20 12:27:04+00:00,https://twitter.com/SkyTG24/status/1163789546225455105,Il riscaldamento globale può essere causa di onde più alte e potenti https://t.co/WqQiAamqfm,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/m6qmt', url='http://sky.tg/m6qmt', tcourl='https://t.co/WqQiAamqfm', indices=(69, 92))]",3,10,2,1
2019-08-19 10:24:04+00:00,https://twitter.com/SkyTG24/status/1163396201871372293,"Alaska, strage di salmoni causata dal riscaldamento globale https://t.co/Cv89XmsjEr",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/nF38q', url='http://sky.tg/nF38q', tcourl='https://t.co/Cv89XmsjEr', indices=(60, 83))]",7,37,0,21
2019-08-08 09:30:10+00:00,https://twitter.com/SkyTG24/status/1159396371109072896,Rapporto Onu: “Il riscaldamento globale aumenterà fame e migrazioni” https://t.co/GwIGWlgidn,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/jNNU6', url='http://sky.tg/jNNU6', tcourl='https://t.co/GwIGWlgidn', indices=(69, 92))]",6,17,2,8
2019-07-31 11:29:11+00:00,https://twitter.com/SkyTG24/status/1156527219524509696,"Effetto serra, le conseguenze del riscaldamento globale https://t.co/xZsXvykGJQ",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/m5Kc4', url='http://sky.tg/m5Kc4', tcourl='https://t.co/xZsXvykGJQ', indices=(56, 79))]",5,12,2,4
2019-07-29 16:00:00+00:00,https://twitter.com/SkyTG24/status/1155870600201736192,"""Il nemico numero uno è il riscaldamento globale"": l'astronauta #LucaParmitano, in missione sulla Stazione Spaziale Internazionale, lancia un appello alla salvaguardia del nostro pianeta 🌍⬇️ https://t.co/yZQRuWm3SE",https://twitter.com/SkyTG24,,12,202,7,57
2019-07-29 15:12:39+00:00,https://twitter.com/SkyTG24/status/1155858681587589121,Luca Parmitano: “il riscaldamento globale è il nemico numero uno” https://t.co/ZAAmXAUY3D,https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/2nKBR', url='http://sky.tg/2nKBR', tcourl='https://t.co/ZAAmXAUY3D', indices=(66, 89))]",15,98,4,23
2019-04-19 14:30:00+00:00,https://twitter.com/SkyTG24/status/1119246775498498053,"#GretaThunberg è a #Roma in occasione della protesta dei #FridaysForFuture. Il suo impegno contro il riscaldamento globale non sta passando inosservato, soprattutto alla conferenza sul clima di Katowice, dove il suo discorso ha scosso il mondo intero ⬇️ https://t.co/VJUtvkSLQ7",https://twitter.com/SkyTG24,,7,53,3,17
2019-04-04 10:25:04+00:00,https://twitter.com/SkyTG24/status/1113749318660313088,"Grande Barriera, gli effetti del riscaldamento globale sui coralli https://t.co/GUL2G3c58h #Scienze https://t.co/gpUoX4C1DC",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/mwwD7', url='http://sky.tg/mwwD7', tcourl='https://t.co/GUL2G3c58h', indices=(67, 90))]",0,4,0,3
2019-03-14 16:07:58+00:00,https://twitter.com/SkyTG24/status/1106225464996171776,"#GretaThunberg ha 16 anni ed è stata proposta per il premio Nobel per la Pace. Il suo impegno contro il riscaldamento globale non è passato inosservato, soprattutto alla conferenza sul #clima di #Katowice, dove il suo discorso scosse il mondo intero ⬇️ https://t.co/g1VZrrT6OR",https://twitter.com/SkyTG24,,159,3932,145,1879
2019-03-14 15:43:04+00:00,https://twitter.com/SkyTG24/status/1106219200714948608,"Greta Thunberg, la ragazza contro il riscaldamento globale https://t.co/LqolsPVOcV https://t.co/KZd1AjH5Cl",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/nfcu5', url='http://sky.tg/nfcu5', tcourl='https://t.co/LqolsPVOcV', indices=(59, 82))]",9,36,0,9
2019-02-04 16:06:05+00:00,https://twitter.com/SkyTG24/status/1092454255401660416,"Riscaldamento globale, entro il 2100 oceani di colore diverso https://t.co/lW7jPq89Oe #Scienze https://t.co/vlFMWeCYRk",https://twitter.com/SkyTG24,"[TextLink(text='sky.tg/m2sh7', url='http://sky.tg/m2sh7', tcourl='https://t.co/lW7jPq89Oe', indices=(62, 85))]",5,12,2,5
