Partiti,Tweet,Risultati,Colori,Tweet_p,Risultati_U35,Year
Lega,"[0.0009917741088617934, 17141, 17]",8.9,green,0.05,5.2,2022
FDI,"[0.0012509382036527395, 3997, 5]",26.0,blue,0.06,15.8,2022
Azione,"[0.006148250779355733, 11548, 71]",7.7,lime,0.31,8.5,2022
FI,"[0.007293354943273906, 1234, 9]",8.3,lightblue,0.36,8.1,2022
+Eu,"[0.0076077768385460695, 1183, 9]",2.9,orange,0.38,6.4,2022
PD,"[0.014540922309929373, 2407, 35]",19.0,red,0.73,18.7,2022
M5S,"[0.019880715705765408, 3018, 60]",15.6,yellow,0.99,20.9,2022
FDI,"[0.0, 2853, 0]",4.3,blue,0.0,3.3,2018
FI,"[0.0, 2259, 0]",14.04,lightblue,0.0,12.4,2018
Lega,"[0.00019705210057539214, 25374, 5]",17.36,green,0.01,17.8,2018
PD,"[0.0007742934572202865, 2583, 2]",18.81,red,0.039,15.3,2018
M5S,"[0.003207184092366902, 1559, 5]",32.68,yellow,0.16,35.3,2018
